1805,137,1.854,1.75,0.944,0.0,0.978,16,1
453,11,0.108,0.006,0.059,0.0,0.647,20,1
1687,117,1.812,0.75,0.414,0.0,0.897,13,1
1500,950,1.429,1.127,0.789,0.0,0.811,14,1
1689,140,2.023,1.93,0.954,0.0,0.966,16,1
1803,174,0.386,0.059,0.154,0.0,0.462,21,1
1569,125,6.923,6.846,0.989,0.0,0.989,13,1
1623,318,0.943,0.46,0.488,0.0,0.902,14,1
1668,215,1.692,0.904,0.534,0.0,0.773,13,1
1524,359,1.12,0.653,0.583,0.0,0.81,16,1
1674,126,2.871,2.484,0.865,0.0,0.91,16,1
1591,136,3.214,3.214,1.0,0.0,1.0,16,1
1662,192,0.538,0.308,0.571,0.0,0.937,14,1
1623,212,0.541,0.018,0.034,0.0,0.542,14,1
1854,1958,0.209,0.147,0.7,0.022,0.722,65,1
285,45,2.143,2.143,1.0,0.0,1.0,10,1
1725,152,0.517,0.27,0.522,0.0,0.778,13,1
1779,116,2.195,2.073,0.944,0.0,0.989,16,1
1749,122,1.913,0.826,0.432,0.0,0.92,13,1
1769,133,2.781,2.781,1.0,0.0,1.0,16,1
1726,115,0.63,0.283,0.448,0.0,0.805,14,1
1661,101,1.673,0.75,0.448,0.0,0.885,14,1
1616,99,1.837,0.776,0.422,0.0,0.856,13,1
1575,456,1.286,1.086,0.844,0.0,0.9,16,1
1659,125,2.095,2.0,0.955,0.0,0.977,16,1
1762,143,2.07,1.953,0.944,0.0,0.966,16,1
1795,91,1.673,0.75,0.448,0.0,0.885,16,1
1798,160,3.52,3.52,1.0,0.0,1.0,16,1
1695,127,1.816,1.714,0.944,0.0,0.966,16,1
1656,116,1.582,0.673,0.425,0.0,0.862,13,1
1893,145,6.357,6.0,0.944,0.0,0.978,13,1
1515,2038,1.435,1.065,0.742,0.0,0.798,14,1
1693,137,0.73,0.279,0.382,0.0,0.708,14,1
1719,121,0.889,0.394,0.443,0.0,0.83,17,1
1732,128,1.589,0.768,0.483,0.0,0.854,13,1
1889,582,1.236,1.056,0.854,0.0,0.966,16,1
1774,132,3.708,3.708,1.0,0.0,1.0,16,1
1634,131,0.887,0.454,0.512,0.0,0.779,16,1
1623,2177,1.475,1.033,0.7,0.0,0.811,14,1
1767,139,2.195,2.049,0.933,0.0,0.978,16,1
1700,122,0.44,0.23,0.523,0.0,0.75,14,1
1685,180,0.481,0.215,0.448,0.0,0.759,13,1
1872,100,1.66,0.887,0.534,0.0,0.909,16,1
1645,186,0.479,0.266,0.556,0.0,0.856,14,1
1664,129,1.812,1.708,0.943,0.0,0.966,16,1
1689,174,2.07,1.93,0.933,0.0,0.933,16,1
1502,2020,1.435,1.081,0.753,0.0,0.831,16,1
287,33,2.143,2.143,1.0,0.0,1.0,10,1
1531,590,1.294,1.147,0.886,0.0,0.943,14,1
1799,122,0.278,0.006,0.023,0.0,0.443,14,1
1680,150,2.146,2.0,0.932,0.0,0.955,16,1
1628,135,6.923,6.923,1.0,0.0,1.0,16,1
1798,142,2.093,1.953,0.933,0.0,0.956,16,1
355,61,2.143,2.143,1.0,0.0,1.0,10,1
